"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈"
"2020100000","2020年度","01456","北海道 愛別町","","2,605",""
"2020100000","2020年度","01457","北海道 上川町","","3,500",""
"2020100000","2020年度","01458","北海道 東川町","","8,314",""
"2020100000","2020年度","01459","北海道 美瑛町","","9,668",""
"2020100000","2020年度","01460","北海道 上富良野町","","10,348",""
"2020100000","2020年度","01461","北海道 中富良野町","","4,733",""
"2020100000","2020年度","01462","北海道 南富良野町","","2,376",""
"2020100000","2020年度","01463","北海道 占冠村","","1,306",""
"2020100000","2020年度","01464","北海道 和寒町","","3,192",""
"2020100000","2020年度","01465","北海道 剣淵町","","2,926",""
"2020100000","2020年度","01468","北海道 下川町","","3,126",""
"2020100000","2020年度","01469","北海道 美深町","","4,145",""
"2020100000","2020年度","01470","北海道 音威子府村","","706",""
"2020100000","2020年度","01471","北海道 中川町","","1,528",""
"2020100000","2020年度","01472","北海道 幌加内町","","1,370",""
"2020100000","2020年度","01481","北海道 増毛町","","3,908",""
"2020100000","2020年度","01482","北海道 小平町","","2,994",""
"2020100000","2020年度","01483","北海道 苫前町","","2,936",""
"2020100000","2020年度","01484","北海道 羽幌町","","6,548",""
"2020100000","2020年度","01485","北海道 初山別村","","1,080",""
"2020100000","2020年度","01486","北海道 遠別町","","2,520",""
"2020100000","2020年度","01487","北海道 天塩町","","2,950",""
"2020100000","2020年度","01511","北海道 猿払村","","2,611",""
"2020100000","2020年度","01512","北海道 浜頓別町","","3,448",""
"2020100000","2020年度","01513","北海道 中頓別町","","1,637",""
"2020100000","2020年度","01514","北海道 枝幸町","","7,565",""
"2020100000","2020年度","01516","北海道 豊富町","","3,974",""
"2020100000","2020年度","01517","北海道 礼文町","","2,509",""
"2020100000","2020年度","01518","北海道 利尻町","","2,004",""
"2020100000","2020年度","01519","北海道 利尻富士町","","2,458",""
"2020100000","2020年度","01520","北海道 幌延町","","2,371",""
"2020100000","2020年度","01543","北海道 美幌町","","18,697",""
"2020100000","2020年度","01544","北海道 津別町","","4,373",""
"2020100000","2020年度","01545","北海道 斜里町","","11,418",""
"2020100000","2020年度","01546","北海道 清里町","","3,883",""
"2020100000","2020年度","01547","北海道 小清水町","","4,623",""
"2020100000","2020年度","01549","北海道 訓子府町","","4,677",""
"2020100000","2020年度","01550","北海道 置戸町","","2,775",""
"2020100000","2020年度","01552","北海道 佐呂間町","","4,875",""
"2020100000","2020年度","01555","北海道 遠軽町","","19,241",""
"2020100000","2020年度","01559","北海道 湧別町","","8,270",""
"2020100000","2020年度","01560","北海道 滝上町","","2,421",""
"2020100000","2020年度","01561","北海道 興部町","","3,628",""
"2020100000","2020年度","01562","北海道 西興部村","","1,053",""
"2020100000","2020年度","01563","北海道 雄武町","","4,199",""
"2020100000","2020年度","01564","北海道 大空町","","6,775",""
"2020100000","2020年度","01571","北海道 豊浦町","","3,821",""
"2020100000","2020年度","01575","北海道 壮瞥町","","2,743",""
"2020100000","2020年度","01578","北海道 白老町","","16,212",""
"2020100000","2020年度","01581","北海道 厚真町","","4,432",""
"2020100000","2020年度","01584","北海道 洞爺湖町","","8,442",""
"2020100000","2020年度","01585","北海道 安平町","","7,340",""
"2020100000","2020年度","01586","北海道 むかわ町","","7,651",""
"2020100000","2020年度","01601","北海道 日高町","","11,279",""
"2020100000","2020年度","01602","北海道 平取町","","4,776",""
"2020100000","2020年度","01604","北海道 新冠町","","5,309",""
"2020100000","2020年度","01607","北海道 浦河町","","12,074",""
"2020100000","2020年度","01608","北海道 様似町","","4,043",""
"2020100000","2020年度","01609","北海道 えりも町","","4,374",""
"2020100000","2020年度","01610","北海道 新ひだか町","","21,517",""
"2020100000","2020年度","01631","北海道 音更町","","43,576",""
"2020100000","2020年度","01632","北海道 士幌町","","5,848",""
"2020100000","2020年度","01633","北海道 上士幌町","","4,778",""
"2020100000","2020年度","01634","北海道 鹿追町","","5,266",""
"2020100000","2020年度","01635","北海道 新得町","","5,817",""
"2020100000","2020年度","01636","北海道 清水町","","9,094",""
"2020100000","2020年度","01637","北海道 芽室町","","18,048",""
"2020100000","2020年度","01638","北海道 中札内村","","3,884",""
"2020100000","2020年度","01639","北海道 更別村","","3,080",""
"2020100000","2020年度","01641","北海道 大樹町","","5,420",""
"2020100000","2020年度","01642","北海道 広尾町","","6,387",""
"2020100000","2020年度","01643","北海道 幕別町","","25,766",""
"2020100000","2020年度","01644","北海道 池田町","","6,294",""
"2020100000","2020年度","01645","北海道 豊頃町","","3,022",""
"2020100000","2020年度","01646","北海道 本別町","","6,618",""
"2020100000","2020年度","01647","北海道 足寄町","","6,563",""
"2020100000","2020年度","01648","北海道 陸別町","","2,264",""
"2020100000","2020年度","01649","北海道 浦幌町","","4,387",""
"2020100000","2020年度","01661","北海道 釧路町","","19,105",""
"2020100000","2020年度","01662","北海道 厚岸町","","8,892",""
"2020100000","2020年度","01663","北海道 浜中町","","5,507",""
"2020100000","2020年度","01664","北海道 標茶町","","7,230",""
"2020100000","2020年度","01665","北海道 弟子屈町","","6,955",""
"2020100000","2020年度","01667","北海道 鶴居村","","2,558",""
"2020100000","2020年度","01668","北海道 白糠町","","7,289",""
"2020100000","2020年度","01691","北海道 別海町","","14,380",""
"2020100000","2020年度","01692","北海道 中標津町","","23,010",""
"2020100000","2020年度","01693","北海道 標津町","","5,023",""
"2020100000","2020年度","01694","北海道 羅臼町","","4,722",""
"2020100000","2020年度","02201","青森県 青森市","","275,192",""
"2020100000","2020年度","02202","青森県 弘前市","","168,466",""
"2020100000","2020年度","02203","青森県 八戸市","","223,415",""
"2020100000","2020年度","02204","青森県 黒石市","","31,946",""
"2020100000","2020年度","02205","青森県 五所川原市","","51,415",""
"2020100000","2020年度","02206","青森県 十和田市","","60,378",""
"2020100000","2020年度","02207","青森県 三沢市","","39,152",""
"2020100000","2020年度","02208","青森県 むつ市","","54,103",""
"2020100000","2020年度","02209","青森県 つがる市","","30,934",""
"2020100000","2020年度","02210","青森県 平川市","","30,567",""
"2020100000","2020年度","02301","青森県 平内町","","10,126",""
"2020100000","2020年度","02303","青森県 今別町","","2,334",""
"2020100000","2020年度","02304","青森県 蓬田村","","2,540",""
"2020100000","2020年度","02307","青森県 外ヶ浜町","","5,401",""
